num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
3,64,0.01,50,SGD,5,0.0101347584277391,0.9857104175059704
3,64,0.01,50,SGD,10,0.0104343788698315,0.9854565184758092
3,64,0.01,50,RMSprop,5,0.0899537205696106,0.8359124110375803
3,64,0.01,50,RMSprop,10,0.0596619099378585,0.9003981427744661
3,64,0.01,50,ADAM,5,0.0103731965646147,0.9834479681587096
3,64,0.01,50,ADAM,10,0.0117263440042734,0.9821509690219268
3,64,0.01,100,SGD,5,0.0099635608494281,0.9863914688917754
3,64,0.01,100,SGD,10,0.0103733940050005,0.9854103550699524
3,64,0.01,100,RMSprop,5,0.1061064004898071,0.8090894950916473
3,64,0.01,100,RMSprop,10,0.0638920441269874,0.8899882893132344
3,64,0.01,100,ADAM,5,0.0120835034176707,0.9804132142962404
3,64,0.01,100,ADAM,10,0.0077781523577868,0.9879134663478272
3,64,0.01,500,SGD,5,0.0089291362091898,0.9877179852492248
3,64,0.01,500,SGD,10,0.0080095222219824,0.988668196502139
3,64,0.01,500,RMSprop,5,0.0804868340492248,0.8642592764196092
3,64,0.01,500,RMSprop,10,0.0473932661116123,0.9205709297911602
3,64,0.01,500,ADAM,5,0.0077144908718764,0.9878474323008504
3,64,0.01,500,ADAM,10,0.010665382258594,0.9840126414755422
3,64,0.001,50,SGD,5,0.2673773467540741,0.5004986518257094
3,64,0.001,50,SGD,10,0.0862758606672287,0.8406001695882054
3,64,0.001,50,RMSprop,5,0.015749042853713,0.9770013821029448
3,64,0.001,50,RMSprop,10,0.0130300968885421,0.980316327407366
3,64,0.001,50,ADAM,5,0.0051347548142075,0.992576689637101
3,64,0.001,50,ADAM,10,0.0048255803994834,0.9930021554642215
3,64,0.001,100,SGD,5,0.10600567609071732,0.7944955510300736
3,64,0.001,100,SGD,10,0.011358107440173626,0.9838991284198615
3,64,0.001,100,RMSprop,5,0.0200955793261528,0.9725051376087218
3,64,0.001,100,RMSprop,10,0.012271387502551079,0.9817439537309652
3,64,0.001,100,ADAM,5,0.005116878543049097,0.992204438876314
3,64,0.001,100,ADAM,10,0.004309448413550854,0.9938911949297307
