num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
3,64,0.01,50,SGD,5,0.3053992092609405,0.4521497196691997
3,64,0.01,50,SGD,10,0.1576185077428817,0.7180468142063651
3,64,0.01,50,RMSprop,5,0.1985488384962082,0.6441353844954949
3,64,0.01,50,RMSprop,10,0.1281758695840835,0.8003326351467424
3,64,0.01,50,ADAM,5,0.0627734363079071,0.9042909507493032
3,64,0.01,50,ADAM,10,0.0901575312018394,0.8686951018149357
3,64,0.01,100,SGD,5,0.2100688815116882,0.6319141138094938
3,64,0.01,100,SGD,10,0.0081773530691862,0.9885968810030248
3,64,0.01,100,RMSprop,5,0.0925698801875114,0.851679382490171
3,64,0.01,100,RMSprop,10,0.113836795091629,0.8387448978269797
3,64,0.01,100,ADAM,5,0.0121443644165992,0.9807691243063972
3,64,0.01,100,ADAM,10,0.0102567784488201,0.9843243288473216
3,64,0.01,500,SGD,5,0.0097023854032158,0.9866668421712133
3,64,0.01,500,SGD,10,0.0084584699943661,0.9882746668578924
3,64,0.01,500,RMSprop,5,0.0723415687680244,0.8712038929200654
3,64,0.01,500,RMSprop,10,0.0595277100801467,0.9004533038544534
3,64,0.01,500,ADAM,5,0.0135035468265414,0.9774638930093076
3,64,0.01,500,ADAM,10,0.0104359369724988,0.9825976698437006
3,64,0.001,50,SGD,5,0.3310152888298034,0.4111633146636905
3,64,0.001,50,SGD,10,0.101432017982006,0.7544402564225491
3,64,0.001,50,RMSprop,5,0.0085398405790328,0.9861066857831716
3,64,0.001,50,RMSprop,10,0.0117792123928666,0.9793396948575156
3,64,0.001,50,ADAM,5,0.0067683416418731,0.990704127533785
3,64,0.001,50,ADAM,10,0.0061795692890882,0.9910716808052068
3,64,0.001,100,SGD,5,0.1792953014373779,0.6304854437318766
3,64,0.001,100,SGD,10,0.0104178078472614,0.9853471294545552
3,64,0.001,100,RMSprop,5,0.0189290661364793,0.972468115105317
3,64,0.001,100,RMSprop,10,0.0123297832906246,0.9795243560779624
3,64,0.001,100,ADAM,5,0.006115149706602,0.9911271170918664
3,64,0.001,100,ADAM,10,0.005882004275918,0.991076109626669
3,64,0.001,500,SGD,5,0.0106902392581105,0.9845468368004012
3,64,0.001,500,SGD,10,0.0099711688235402,0.9867446956757386
3,64,0.001,500,RMSprop,5,0.0118841025978326,0.9776053274324976
3,64,0.001,500,RMSprop,10,0.0144821321591734,0.9759887473567664
3,64,0.001,500,ADAM,5,0.0064862333238124,0.9908381542149464
3,64,0.001,500,ADAM,10,0.0039623938500881,0.9939364164020396
3,64,0.0001,50,SGD,5,0.6129782795906067,-0.0173114668909131
3,64,0.0001,50,SGD,10,0.5872787833213806,0.0047398264763734
3,64,0.0001,50,RMSprop,5,0.0079920981079339,0.9883435428451408
3,64,0.0001,50,RMSprop,10,0.0042117801494896,0.9936208264839972
3,64,0.0001,50,ADAM,5,0.0057851336896419,0.9919591520233524
3,64,0.0001,50,ADAM,10,0.004699861165136,0.9928721347540008
3,64,0.0001,100,SGD,5,0.5616918802261353,0.0493110996377314
3,64,0.0001,100,SGD,10,0.56853187084198,0.0379618504040416
3,64,0.0001,100,RMSprop,5,0.0070549920201301,0.9893754577159368
3,64,0.0001,100,RMSprop,10,0.0038131864275783,0.9942560914713428
3,64,0.0001,100,ADAM,5,0.0075498772785067,0.9896982473008932
3,64,0.0001,100,ADAM,10,0.0044303466565907,0.9935014686092372
3,64,0.0001,500,SGD,5,0.2064096927642822,0.6139819210466645
3,64,0.0001,500,SGD,10,0.0728244259953498,0.8605041504123521
3,64,0.0001,500,RMSprop,5,0.0069357831962406,0.990302993074805
3,64,0.0001,500,RMSprop,10,0.0050880517810583,0.9930224260325684
